protocol_mode,true_device_id,expected_profile_count,recovered_profile_count,recovered_fraction,exact_history_recovered
aura_rsp,Device-0006,2,1,0.5,False
aura_rsp,Device-0007,2,1,0.5,False
aura_rsp,Device-0008,2,1,0.5,False
aura_rsp,Device-0009,2,1,0.5,False
aura_rsp,Device-0010,2,1,0.5,False
aura_rsp,Device-0011,2,1,0.5,False
aura_rsp,Device-0012,2,1,0.5,False
aura_rsp,Device-0013,2,1,0.5,False
aura_rsp,Device-0014,2,1,0.5,False
aura_rsp,Device-0015,2,1,0.5,False
aura_rsp,Device-0016,2,1,0.5,False
aura_rsp,Device-0017,2,1,0.5,False
aura_rsp,Device-0018,2,1,0.5,False
aura_rsp,Device-0019,2,1,0.5,False
aura_rsp,Device-0020,2,1,0.5,False
aura_rsp,Device-0021,2,1,0.5,False
aura_rsp,Device-0022,2,1,0.5,False
aura_rsp,Device-0023,2,1,0.5,False
aura_rsp,Device-0024,2,1,0.5,False
aura_rsp,Device-0025,2,1,0.5,False
aura_rsp,Device-0026,2,1,0.5,False
aura_rsp,Device-0027,2,1,0.5,False
aura_rsp,Device-0028,2,1,0.5,False
aura_rsp,Device-0029,2,1,0.5,False
aura_rsp,Device-0030,2,1,0.5,False
aura_rsp,Device-0031,2,1,0.5,False
aura_rsp,Device-0032,2,1,0.5,False
aura_rsp,Device-0033,2,1,0.5,False
aura_rsp,Device-0034,2,1,0.5,False
aura_rsp,Device-0035,2,1,0.5,False
aura_rsp,Device-0036,2,1,0.5,False
aura_rsp,Device-0037,2,1,0.5,False
aura_rsp,Device-0038,2,1,0.5,False
aura_rsp,Device-0039,2,1,0.5,False
aura_rsp,Device-0040,2,1,0.5,False
aura_rsp,Device-0041,2,1,0.5,False
aura_rsp,Device-0042,2,1,0.5,False
aura_rsp,Device-0043,2,1,0.5,False
aura_rsp,Device-0044,2,1,0.5,False
aura_rsp,Device-0045,2,1,0.5,False
aura_rsp,Device-0046,2,1,0.5,False
aura_rsp,Device-0047,2,1,0.5,False
aura_rsp,Device-0048,2,1,0.5,False
aura_rsp,Device-0049,2,1,0.5,False
aura_rsp,Device-0050,2,1,0.5,False
aura_rsp,Device-0051,2,1,0.5,False
aura_rsp,Device-0052,2,1,0.5,False
aura_rsp,Device-0053,2,1,0.5,False
aura_rsp,Device-0054,2,1,0.5,False
