protocol_mode,true_device_id,expected_profile_count,recovered_profile_count,recovered_fraction,exact_history_recovered
aura_rsp,Device-0013,4,1,0.25,False
aura_rsp,Device-0014,4,1,0.25,False
aura_rsp,Device-0015,4,1,0.25,False
aura_rsp,Device-0016,4,1,0.25,False
aura_rsp,Device-0017,4,1,0.25,False
aura_rsp,Device-0018,4,1,0.25,False
aura_rsp,Device-0019,4,1,0.25,False
aura_rsp,Device-0020,4,1,0.25,False
aura_rsp,Device-0021,4,1,0.25,False
aura_rsp,Device-0022,4,1,0.25,False
aura_rsp,Device-0023,4,1,0.25,False
aura_rsp,Device-0024,4,1,0.25,False
aura_rsp,Device-0025,4,1,0.25,False
aura_rsp,Device-0026,4,1,0.25,False
aura_rsp,Device-0027,4,1,0.25,False
aura_rsp,Device-0028,4,1,0.25,False
aura_rsp,Device-0029,4,1,0.25,False
aura_rsp,Device-0030,4,1,0.25,False
aura_rsp,Device-0031,4,1,0.25,False
aura_rsp,Device-0032,4,1,0.25,False
aura_rsp,Device-0033,4,1,0.25,False
aura_rsp,Device-0034,4,1,0.25,False
aura_rsp,Device-0035,4,1,0.25,False
aura_rsp,Device-0036,4,1,0.25,False
aura_rsp,Device-0037,4,1,0.25,False
aura_rsp,Device-0038,4,1,0.25,False
aura_rsp,Device-0039,4,1,0.25,False
aura_rsp,Device-0040,4,1,0.25,False
aura_rsp,Device-0041,4,1,0.25,False
aura_rsp,Device-0042,4,1,0.25,False
aura_rsp,Device-0043,4,1,0.25,False
aura_rsp,Device-0044,4,1,0.25,False
aura_rsp,Device-0045,4,1,0.25,False
aura_rsp,Device-0046,4,1,0.25,False
aura_rsp,Device-0047,4,1,0.25,False
aura_rsp,Device-0048,4,1,0.25,False
aura_rsp,Device-0049,4,1,0.25,False
aura_rsp,Device-0050,4,1,0.25,False
aura_rsp,Device-0051,4,1,0.25,False
aura_rsp,Device-0052,4,1,0.25,False
aura_rsp,Device-0053,4,1,0.25,False
aura_rsp,Device-0054,4,1,0.25,False
aura_rsp,Device-0055,4,1,0.25,False
aura_rsp,Device-0056,4,1,0.25,False
aura_rsp,Device-0057,4,1,0.25,False
aura_rsp,Device-0058,4,1,0.25,False
aura_rsp,Device-0059,4,1,0.25,False
aura_rsp,Device-0060,4,1,0.25,False
aura_rsp,Device-0061,4,1,0.25,False
aura_rsp,Device-0062,4,1,0.25,False
aura_rsp,Device-0063,4,1,0.25,False
aura_rsp,Device-0064,4,1,0.25,False
aura_rsp,Device-0065,4,1,0.25,False
aura_rsp,Device-0066,4,1,0.25,False
aura_rsp,Device-0067,4,1,0.25,False
aura_rsp,Device-0068,4,1,0.25,False
aura_rsp,Device-0069,4,1,0.25,False
aura_rsp,Device-0070,4,1,0.25,False
aura_rsp,Device-0071,4,1,0.25,False
aura_rsp,Device-0072,4,1,0.25,False
aura_rsp,Device-0073,4,1,0.25,False
aura_rsp,Device-0074,4,1,0.25,False
aura_rsp,Device-0075,4,1,0.25,False
aura_rsp,Device-0076,4,1,0.25,False
aura_rsp,Device-0077,4,1,0.25,False
aura_rsp,Device-0078,4,1,0.25,False
aura_rsp,Device-0079,4,1,0.25,False
aura_rsp,Device-0080,4,1,0.25,False
aura_rsp,Device-0081,4,1,0.25,False
aura_rsp,Device-0082,4,1,0.25,False
aura_rsp,Device-0083,4,1,0.25,False
aura_rsp,Device-0084,4,1,0.25,False
aura_rsp,Device-0085,4,1,0.25,False
aura_rsp,Device-0086,4,1,0.25,False
aura_rsp,Device-0087,4,1,0.25,False
aura_rsp,Device-0088,4,1,0.25,False
aura_rsp,Device-0089,4,1,0.25,False
aura_rsp,Device-0090,4,1,0.25,False
aura_rsp,Device-0091,4,1,0.25,False
aura_rsp,Device-0092,4,1,0.25,False
aura_rsp,Device-0093,4,1,0.25,False
aura_rsp,Device-0094,4,1,0.25,False
aura_rsp,Device-0095,4,1,0.25,False
aura_rsp,Device-0096,4,1,0.25,False
aura_rsp,Device-0097,4,1,0.25,False
aura_rsp,Device-0098,4,1,0.25,False
aura_rsp,Device-0099,4,1,0.25,False
aura_rsp,Device-0100,4,1,0.25,False
aura_rsp,Device-0101,4,1,0.25,False
aura_rsp,Device-0102,4,1,0.25,False
aura_rsp,Device-0103,4,1,0.25,False
aura_rsp,Device-0104,4,1,0.25,False
aura_rsp,Device-0105,4,1,0.25,False
aura_rsp,Device-0106,4,1,0.25,False
aura_rsp,Device-0107,4,1,0.25,False
aura_rsp,Device-0108,4,1,0.25,False
aura_rsp,Device-0109,4,1,0.25,False
aura_rsp,Device-0110,4,1,0.25,False
aura_rsp,Device-0111,4,1,0.25,False
aura_rsp,Device-0112,4,1,0.25,False
aura_rsp,Device-0113,4,1,0.25,False
aura_rsp,Device-0114,4,1,0.25,False
aura_rsp,Device-0115,4,1,0.25,False
aura_rsp,Device-0116,4,1,0.25,False
aura_rsp,Device-0117,4,1,0.25,False
aura_rsp,Device-0118,4,1,0.25,False
aura_rsp,Device-0119,4,1,0.25,False
aura_rsp,Device-0120,4,1,0.25,False
aura_rsp,Device-0121,4,1,0.25,False
aura_rsp,Device-0122,4,1,0.25,False
aura_rsp,Device-0123,4,1,0.25,False
aura_rsp,Device-0124,4,1,0.25,False
aura_rsp,Device-0125,4,1,0.25,False
aura_rsp,Device-0126,4,1,0.25,False
aura_rsp,Device-0127,4,1,0.25,False
aura_rsp,Device-0128,4,1,0.25,False
aura_rsp,Device-0129,4,1,0.25,False
aura_rsp,Device-0130,4,1,0.25,False
aura_rsp,Device-0131,4,1,0.25,False
aura_rsp,Device-0132,4,1,0.25,False
aura_rsp,Device-0133,4,1,0.25,False
aura_rsp,Device-0134,4,1,0.25,False
aura_rsp,Device-0135,4,1,0.25,False
aura_rsp,Device-0136,4,1,0.25,False
aura_rsp,Device-0137,4,1,0.25,False
aura_rsp,Device-0138,4,1,0.25,False
aura_rsp,Device-0139,4,1,0.25,False
aura_rsp,Device-0140,4,1,0.25,False
aura_rsp,Device-0141,4,1,0.25,False
aura_rsp,Device-0142,4,1,0.25,False
aura_rsp,Device-0143,4,1,0.25,False
aura_rsp,Device-0144,4,1,0.25,False
aura_rsp,Device-0145,4,1,0.25,False
aura_rsp,Device-0146,4,1,0.25,False
aura_rsp,Device-0147,4,1,0.25,False
aura_rsp,Device-0148,4,1,0.25,False
aura_rsp,Device-0149,4,1,0.25,False
aura_rsp,Device-0150,4,1,0.25,False
aura_rsp,Device-0151,4,1,0.25,False
aura_rsp,Device-0152,4,1,0.25,False
aura_rsp,Device-0153,4,1,0.25,False
aura_rsp,Device-0154,4,1,0.25,False
aura_rsp,Device-0155,4,1,0.25,False
aura_rsp,Device-0156,4,1,0.25,False
aura_rsp,Device-0157,4,1,0.25,False
aura_rsp,Device-0158,4,1,0.25,False
aura_rsp,Device-0159,4,1,0.25,False
aura_rsp,Device-0160,4,1,0.25,False
aura_rsp,Device-0161,4,1,0.25,False
aura_rsp,Device-0162,4,1,0.25,False
aura_rsp,Device-0163,4,1,0.25,False
aura_rsp,Device-0164,4,1,0.25,False
aura_rsp,Device-0165,4,1,0.25,False
aura_rsp,Device-0166,4,1,0.25,False
aura_rsp,Device-0167,4,1,0.25,False
aura_rsp,Device-0168,4,1,0.25,False
aura_rsp,Device-0169,4,1,0.25,False
aura_rsp,Device-0170,4,1,0.25,False
aura_rsp,Device-0171,4,1,0.25,False
aura_rsp,Device-0172,4,1,0.25,False
aura_rsp,Device-0173,4,1,0.25,False
aura_rsp,Device-0174,4,1,0.25,False
aura_rsp,Device-0175,4,1,0.25,False
aura_rsp,Device-0176,4,1,0.25,False
aura_rsp,Device-0177,4,1,0.25,False
aura_rsp,Device-0178,4,1,0.25,False
aura_rsp,Device-0179,4,1,0.25,False
aura_rsp,Device-0180,4,1,0.25,False
aura_rsp,Device-0181,4,1,0.25,False
aura_rsp,Device-0182,4,1,0.25,False
aura_rsp,Device-0183,4,1,0.25,False
aura_rsp,Device-0184,4,1,0.25,False
aura_rsp,Device-0185,4,1,0.25,False
aura_rsp,Device-0186,4,1,0.25,False
aura_rsp,Device-0187,4,1,0.25,False
aura_rsp,Device-0188,4,1,0.25,False
aura_rsp,Device-0189,4,1,0.25,False
aura_rsp,Device-0190,4,1,0.25,False
aura_rsp,Device-0191,4,1,0.25,False
aura_rsp,Device-0192,4,1,0.25,False
aura_rsp,Device-0193,4,1,0.25,False
aura_rsp,Device-0194,4,1,0.25,False
aura_rsp,Device-0195,4,1,0.25,False
aura_rsp,Device-0196,4,1,0.25,False
aura_rsp,Device-0197,4,1,0.25,False
aura_rsp,Device-0198,4,1,0.25,False
aura_rsp,Device-0199,4,1,0.25,False
aura_rsp,Device-0200,4,1,0.25,False
aura_rsp,Device-0201,4,1,0.25,False
aura_rsp,Device-0202,4,1,0.25,False
aura_rsp,Device-0203,4,1,0.25,False
aura_rsp,Device-0204,4,1,0.25,False
aura_rsp,Device-0205,4,1,0.25,False
aura_rsp,Device-0206,4,1,0.25,False
aura_rsp,Device-0207,4,1,0.25,False
aura_rsp,Device-0208,4,1,0.25,False
aura_rsp,Device-0209,4,1,0.25,False
aura_rsp,Device-0210,4,1,0.25,False
aura_rsp,Device-0211,4,1,0.25,False
aura_rsp,Device-0212,4,1,0.25,False
aura_rsp,Device-0213,4,1,0.25,False
aura_rsp,Device-0214,4,1,0.25,False
aura_rsp,Device-0215,4,1,0.25,False
aura_rsp,Device-0216,4,1,0.25,False
aura_rsp,Device-0217,4,1,0.25,False
aura_rsp,Device-0218,4,1,0.25,False
aura_rsp,Device-0219,4,1,0.25,False
aura_rsp,Device-0220,4,1,0.25,False
aura_rsp,Device-0221,4,1,0.25,False
aura_rsp,Device-0222,4,1,0.25,False
aura_rsp,Device-0223,4,1,0.25,False
aura_rsp,Device-0224,4,1,0.25,False
aura_rsp,Device-0225,4,1,0.25,False
aura_rsp,Device-0226,4,1,0.25,False
aura_rsp,Device-0227,4,1,0.25,False
aura_rsp,Device-0228,4,1,0.25,False
aura_rsp,Device-0229,4,1,0.25,False
aura_rsp,Device-0230,4,1,0.25,False
aura_rsp,Device-0231,4,1,0.25,False
aura_rsp,Device-0232,4,1,0.25,False
aura_rsp,Device-0233,4,1,0.25,False
